reference,name,development-plan-event,event-date,notes,development-plan,entry-date,start-date,end-date,organisations
liverpool-local-plan-2013-2033-examination-hearing-start,,examination-hearing-start,2020-10-13,,liverpool-local-plan-2013-2033,2023-04-26,,,government-organisation:EA39
liverpool-local-plan-2013-2033-examination-hearing-end,,examination-hearing-end,2020-10-23,,liverpool-local-plan-2013-2033,2023-04-26,,,government-organisation:EA39
braintree-district-local-plan-2033-inspector-report-published,,inspector-report-published,2020-12-10,,braintree-district-local-plan-2033,2023-04-26,,,local-authority-eng:BRA
Southampton_Core_Strategy_Partial_Review-examination-hearing-end,,examination-hearing-end,2014-04-04,,Southampton_Core_Strategy_Partial_Review,2023-04-26,,,government-organisation:EA39
liverpool-local-plan-2013-2033-inspector-report-published,,inspector-report-published,2021-10-20,,liverpool-local-plan-2013-2033,2023-04-26,,,government-organisation:EA39
Harlow-Local-Development-Plan-pre-submission-publication,,pre-submission-publication,2018-05-24,,Harlow-Local-Development-Plan,2023-04-26,,,local-authority-eng:HAR
Harlow-Local-Development-Plan-pre-submission-publication-end,,pre-submission-publication-end,2018-07-06,,Harlow-Local-Development-Plan,2023-04-26,,,local-authority-eng:HAR
Southampton_Core_Strategy_Partial_Review-examination-hearing-start,,examination-hearing-start,2014-04-31,,Southampton_Core_Strategy_Partial_Review,2023-04-26,,,government-organisation:EA39
Southampton_Core_Strategy_Partial_Review-inspector-report-published,,inspector-report-published,2014-12-01,,Southampton_Core_Strategy_Partial_Review,2023-04-26,,,government-organisation:EA39
liverpool-local-plan-2013-2033-publish-draft-plan-for-public-consultation,,publish-draft-plan-for-public-consultation,2014-02-01,,liverpool-local-plan-2013-2033,2023-04-26,,2023-04-26,local-authority-eng:LIV
liverpool-local-plan-2013-2033-publish-draft-plan-for-public-consultation-2023-04-26-11:02:43,,publish-draft-plan-for-public-consultation,2016-10-01,,liverpool-local-plan-2013-2033,2023-04-26,,,local-authority-eng:LIV
coventry-city-centre-area-action-plan-plan-adopted,,plan-adopted,2017-12-6,,coventry-city-centre-area-action-plan,2023-04-26,,,local-authority-eng:COV
liverpool-local-plan-2013-2033-submit-plan-for-examination-2023-04-26-11:03:28,,submit-plan-for-examination,2017-07-01,,liverpool-local-plan-2013-2033,2023-04-26,,2023-04-26,local-authority-eng:LIV
core-strategy-plan-adopted,,plan-adopted,2013-09-25,,core-strategy,2023-04-26,,,local-authority-eng:DAC
core-strategy-inspector-report-published,,inspector-report-published,2013-7-9,,core-strategy,2023-04-26,,,local-authority-eng:DAC
southampton-city-vision-early-stakeholder-engagement-start,,early-stakeholder-engagement-start,2021-09-01,,southampton-city-vision,2023-04-26,,,local-authority-eng:STH
southampton-city-vision-early-stakeholder-engagement-end,,early-stakeholder-engagement-end,2022-04-01,,southampton-city-vision,2023-04-26,,,local-authority-eng:STH
southampton-city-vision-publish-draft-reg-18-plan,,publish-draft-reg-18-plan,2022-07-01,,southampton-city-vision,2023-04-26,,,local-authority-eng:STH
southampton-city-vision-regulation-18-start,,regulation-18-start,2022-07-01,,southampton-city-vision,2023-04-26,,,local-authority-eng:STH
southampton-city-vision-regulation-18-end,,regulation-18-end,2022-08-01,,southampton-city-vision,2023-04-26,,,local-authority-eng:STH
southampton-city-vision-publish-reg-19-plan,,publish-reg-19-plan,2023-06-01,,southampton-city-vision,2023-04-26,,,local-authority-eng:STH
southampton-city-vision-regulation-19-start,,regulation-19-start,2023-07-01,,southampton-city-vision,2023-04-26,,,local-authority-eng:STH
southampton-city-vision-end-reg-19-consultation,,end-reg-19-consultation,2023-07-01,,southampton-city-vision,2023-04-26,,,local-authority-eng:STH
southampton-city-vision-feedback-on-reg-19-consultation,,feedback-on-reg-19-consultation,2023-10-01,,southampton-city-vision,2023-04-26,,,local-authority-eng:STH
southampton-city-vision-submit-plan-for-examination,,submit-plan-for-examination,2023-12-01,,southampton-city-vision,2023-04-26,,,local-authority-eng:STH
